,Vaccine,Year,Coverage
627,Native Hawaiian or Other Pacific Islander only,2013,
628,2 or more races,2013,79.8
629,Hispanic or Latino\2,2013,81.0
630,Poverty level\3:,2013,
631,Below poverty,2013,75.7
632,At or above poverty,2013,84.7
633,Location of residence\4:,2013,
634,Inside MSA:,2013,
635,Principal city,2013,81.1
636,Nonprincipal city,2013,82.2
637,Outside MSA,2013,78.5
638,Polio (3 doses or more),2013,
639,Total,2013,92.3
640,Not Hispanic or Latino\2:,2013,
641,White only,2013,92.5
642,Black or African American only,2013,92.4
643,American Indian or Alaska Native only,2013,90.0
644,Asian only,2013,92.2
645,Native Hawaiian or Other Pacific Islander only,2013,88.4
646,2 or more races,2013,90.4
647,Hispanic or Latino\2,2013,92.7
648,Poverty level\3:,2013,
649,Below poverty,2013,90.3
650,At or above poverty,2013,93.5
651,Location of residence\4:,2013,
652,Inside MSA:,2013,
653,Principal city,2013,92.8
654,Nonprincipal city,2013,92.8
655,Outside MSA,2013,89.3
656,"Measles, mumps, rubella (1 dose or more)\6",2013,
657,Total,2013,90.3
658,Not Hispanic or Latino\2:,2013,
659,White only,2013,90.1
660,Black or African American only,2013,87.8
661,American Indian or Alaska Native only,2013,88.5
662,Asian only,2013,90.5
663,Native Hawaiian or Other Pacific Islander only,2013,
664,2 or more races,2013,92.7
665,Hispanic or Latino\2,2013,91.1
666,Poverty level\3:,2013,
667,Below poverty,2013,87.6
668,At or above poverty,2013,92.1
669,Location of residence\4:,2013,
670,Inside MSA:,2013,
671,Principal city,2013,90.5
672,Nonprincipal city,2013,90.2
673,Outside MSA,2013,89.5
674,Hib (full series)\7,2013,
675,Total,2013,80.8
676,Not Hispanic or Latino\2:,2013,
677,White only,2013,81.5
678,Black or African American only,2013,76.2
679,American Indian or Alaska Native only,2013,78.1
680,Asian only,2013,81.8
681,Native Hawaiian or Other Pacific Islander only,2013,
682,2 or more races,2013,80.2
683,Hispanic or Latino\2,2013,82.2
684,Poverty level\3:,2013,
685,Below poverty,2013,75.7
686,At or above poverty,2013,84.1
687,Location of residence\4:,2013,
688,Inside MSA:,2013,
689,Principal city,2013,80.3
690,Nonprincipal city,2013,82.2
691,Outside MSA,2013,78.2
692,Hepatitis A (2 doses or more),2013,
693,Total,2013,74.5
694,Not Hispanic or Latino\2:,2013,
695,White only,2013,74.1
696,Black or African American only,2013,72.2
697,American Indian or Alaska Native only,2013,
698,Asian only,2013,78.9
699,Native Hawaiian or Other Pacific Islander only,2013,
700,2 or more races,2013,65.4
701,Hispanic or Latino\2,2013,78.1
702,Poverty level\3:,2013,
703,Below poverty,2013,71.7
704,At or above poverty,2013,75.6
705,Location of residence\4:,2013,
706,Inside MSA:,2013,
707,Principal city,2013,77.6
708,Nonprincipal city,2013,72.9
709,Outside MSA,2013,68.6
710,Hepatitis B (3 doses or more),2013,
711,Total,2013,91.6
712,Not Hispanic or Latino\2:,2013,
713,White only,2013,91.7
714,Black or African American only,2013,92.1
715,American Indian or Alaska Native only,2013,94.2
716,Asian only,2013,92.4
717,Native Hawaiian or Other Pacific Islander only,2013,88.2
718,2 or more races,2013,90.0
719,Hispanic or Latino\2,2013,91.4
720,Poverty level\3:,2013,
721,Below poverty,2013,92.1
722,At or above poverty,2013,91.6
723,Location of residence\4:,2013,
724,Inside MSA:,2013,
725,Principal city,2013,92.0
726,Nonprincipal city,2013,91.3
727,Outside MSA,2013,91.3
728,Varicella (1 dose or more)\6,2013,
729,Total,2013,89.6
730,Not Hispanic or Latino\2:,2013,
731,White only,2013,89.2
732,Black or African American only,2013,88.4
733,American Indian or Alaska Native only,2013,87.4
734,Asian only,2013,89.9
735,Native Hawaiian or Other Pacific Islander only,2013,84.4
736,2 or more races,2013,89.9
737,Hispanic or Latino\2,2013,90.8
738,Poverty level\3:,2013,
739,Below poverty,2013,87.9
740,At or above poverty,2013,90.7
741,Location of residence\4:,2013,
742,Inside MSA:,2013,
743,Principal city,2013,90.3
744,Nonprincipal city,2013,89.3
745,Outside MSA,2013,87.7
746,"Pneumococcal conjugate vaccine 
(4 doses or more)\8",2013,
747,Total,2013,81.7
748,Not Hispanic or Latino\2:,2013,
749,White only,2013,83.4
750,Black or African American only,2013,76.7
751,American Indian or Alaska Native only,2013,75.0
752,Asian only,2013,79.2
753,Native Hawaiian or Other Pacific Islander only,2013,
754,2 or more races,2013,80.0
755,Hispanic or Latino\2,2013,82.4
756,Poverty level\3:,2013,
757,Below poverty,2013,75.9
758,At or above poverty,2013,85.0
759,Location of residence\4:,2013,
760,Inside MSA:,2013,
761,Principal city,2013,81.8
762,Nonprincipal city,2013,82.8
763,Outside MSA,2013,77.3
764,Rotavirus vaccine\9,2013,
765,Total,2013,72.5
766,Not Hispanic or Latino\2:,2013,
767,White only,2013,74.8
768,Black or African American only,2013,66.2
769,American Indian or Alaska Native only,2013,
770,Asian only,2013,69.8
771,Native Hawaiian or Other Pacific Islander only,2013,
772,2 or more races,2013,69.2
773,Hispanic or Latino\2,2013,73.5
774,Poverty level\3:,2013,
775,Below poverty,2013,66.9
776,At or above poverty,2013,76.2
777,Location of residence\4:,2013,
778,Inside MSA:,2013,
779,Principal city,2013,72.8
780,Nonprincipal city,2013,74.3
781,Outside MSA,2013,65.6
782,"* Estimates are considered unreliable. Percentages are not shown if the unweighted sample size for the denominator is less than 30, the confidence interval half-width divided by the estimate is greater than 58.8%, or the confidence interval half-width is greater than 10.
\1Consists of: 1) 4 or more doses of diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP); 2) 3 or more doses of any poliovirus vaccine; 3) 1 or more doses of a measles-containing vaccine (MCV); 4) 3 or more doses or 4 or more doses of Haemophilus influenzae type b vaccine (Hib), depending on Hib vaccine product type (full series Hib); 5) 3 or more doses of hepatitis B vaccine; 6) 1 or more doses of varicella vaccine; and 7) 4 or more doses of pneumococcal conjugate vaccine (PCV). 
\2People of Hispanic origin may be of any race. Estimates are tabulated using the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity.” See Sources and Definitions, Hispanic origin; Race.
\3Based on family income and family size using U.S. Census Bureau poverty thresholds. See Sources and Definitions, Family income; Poverty. 
\4MSA is metropolitan statistical area. MSAs are defined based on the U.S. Office of Management and Budget delineation files. See Sources and Definitions, Metropolitan statistical area (MSA).
\5Includes diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP).
\6Includes children who may have been vaccinated with at least 1 dose of measles, mumps, rubella, and varicella combination vaccine. 
\7Haemophilus influenzae type b vaccine (Hib) full series includes the primary series and booster doses, consisting of 3 or more or 4 or more doses depending on the product type received. 
\8PCV is pneumococcal conjugate vaccine. 
\9Includes 2 or more or 3 or more doses depending on the product type received.",2013,
783,"NOTES: Vaccination coverage estimates are based on provider-verified responses from parents who live in households with telephones. Data for birth year are based on the 3 subsequent survey years. For example, 2010 birth year data are based on 2011, 2012, and 2013 survey data. Starting in 2018, National Immunization Surveys shifted from a dual (landline and cell phone) sampling frame to a single (cell phone) sampling frame design. See Sources and Definitions, National Immunization Surveys (NIS); Vaccination. Additional information on childhood immunizations is available from: https://www.cdc.gov/vaccines/schedules/index.html. Due to methodological changes to report coverage by birth year, data analysis methods have been revised and differ from previous editions of Health, United States.",2013,
784,"SOURCE: National Center for Immunization and Respiratory Diseases (NCIRD), National Immunization Survey–Child.  Available from: https://www.cdc.gov/vaccines/imz-managers/coverage/childvaxview/index.html. See Sources and Definitions, National Immunization Surveys (NIS).",2013,
788,Combined 7-vaccine series\1,2014,
789,Total,2014,68.5
790,Not Hispanic or Latino\2:,2014,
791,White only,2014,70.0
792,Black or African American only,2014,64.7
793,American Indian or Alaska Native only,2014,
794,Asian only,2014,70.1
795,Native Hawaiian or Other Pacific Islander only,2014,
796,2 or more races,2014,69.8
797,Hispanic or Latino\2,2014,67.5
798,Poverty level\3:,2014,
799,Below poverty,2014,60.2
800,At or above poverty,2014,71.9
801,"Hispanic origin, race, and poverty level\2,\3:",2014,
802,Not Hispanic or Latino:,2014,
803,White only:,2014,
804,Below poverty,2014,60.1
805,At or above poverty,2014,72.3
806,Black or African American only:,2014,
807,Below poverty,2014,62.3
808,At or above poverty,2014,68.2
809,Hispanic or Latino: ,2014,
810,Below poverty,2014,59.4
811,At or above poverty,2014,71.0
812,Location of residence\4:,2014,
813,Inside MSA:,2014,
814,Principal city,2014,68.4
815,Nonprincipal city,2014,68.9
816,Outside MSA,2014,67.9
817,DTP/DT/DTaP (4 doses or more)\5,2014,
818,Total,2014,80.1
819,Not Hispanic or Latino\2:,2014,
820,White only,2014,81.5
821,Black or African American only,2014,75.3
822,American Indian or Alaska Native only,2014,
823,Asian only,2014,82.5
824,Native Hawaiian or Other Pacific Islander only,2014,
825,2 or more races,2014,79.5
826,Hispanic or Latino\2,2014,79.9
827,Poverty level\3:,2014,
828,Below poverty,2014,72.5
829,At or above poverty,2014,83.3
830,Location of residence\4:,2014,
831,Inside MSA:,2014,
832,Principal city,2014,79.1
833,Nonprincipal city,2014,81.9
834,Outside MSA,2014,77.6
835,Polio (3 doses or more),2014,
836,Total,2014,91.0
837,Not Hispanic or Latino\2:,2014,
838,White only,2014,91.2
839,Black or African American only,2014,88.9
840,American Indian or Alaska Native only,2014,87.8
841,Asian only,2014,93.4
842,Native Hawaiian or Other Pacific Islander only,2014,87.1
843,2 or more races,2014,90.1
844,Hispanic or Latino\2,2014,91.6
845,Poverty level\3:,2014,
846,Below poverty,2014,88.3
847,At or above poverty,2014,92.1
848,Location of residence\4:,2014,
849,Inside MSA:,2014,
850,Principal city,2014,90.7
851,Nonprincipal city,2014,91.3
852,Outside MSA,2014,91.2
853,"Measles, mumps, rubella (1 dose or more)\6",2014,
854,Total,2014,89.8
855,Not Hispanic or Latino\2:,2014,
856,White only,2014,90.0
857,Black or African American only,2014,86.8
858,American Indian or Alaska Native only,2014,89.4
859,Asian only,2014,92.9
860,Native Hawaiian or Other Pacific Islander only,2014,
861,2 or more races,2014,89.7
862,Hispanic or Latino\2,2014,90.1
863,Poverty level\3:,2014,
864,Below poverty,2014,86.1
865,At or above poverty,2014,91.5
866,Location of residence\4:,2014,
867,Inside MSA:,2014,
868,Principal city,2014,90.1
869,Nonprincipal city,2014,89.2
870,Outside MSA,2014,90.3
871,Hib (full series)\7,2014,
872,Total,2014,79.5
873,Not Hispanic or Latino\2:,2014,
874,White only,2014,81.3
875,Black or African American only,2014,75.2
876,American Indian or Alaska Native only,2014,
877,Asian only,2014,78.9
878,Native Hawaiian or Other Pacific Islander only,2014,
879,2 or more races,2014,79.1
880,Hispanic or Latino\2,2014,79.2
881,Poverty level\3:,2014,
882,Below poverty,2014,71.2
883,At or above poverty,2014,82.9
884,Location of residence\4:,2014,
885,Inside MSA:,2014,
886,Principal city,2014,79.0
887,Nonprincipal city,2014,80.4
888,Outside MSA,2014,78.5
889,Hepatitis A (2 doses or more),2014,
890,Total,2014,73.6
891,Not Hispanic or Latino\2:,2014,
892,White only,2014,72.3
893,Black or African American only,2014,66.5
894,American Indian or Alaska Native only,2014,
895,Asian only,2014,82.8
896,Native Hawaiian or Other Pacific Islander only,2014,
897,2 or more races,2014,69.5
898,Hispanic or Latino\2,2014,77.3
899,Poverty level\3:,2014,
900,Below poverty,2014,67.7
901,At or above poverty,2014,76.4
902,Location of residence\4:,2014,
903,Inside MSA:,2014,
904,Principal city,2014,73.6
905,Nonprincipal city,2014,74.3
906,Outside MSA,2014,71.3
907,Hepatitis B (3 doses or more),2014,
908,Total,2014,90.2
909,Not Hispanic or Latino\2:,2014,
910,White only,2014,90.6
911,Black or African American only,2014,89.4
912,American Indian or Alaska Native only,2014,88.7
913,Asian only,2014,94.7
914,Native Hawaiian or Other Pacific Islander only,2014,
915,2 or more races,2014,90.0
916,Hispanic or Latino\2,2014,89.1
917,Poverty level\3:,2014,
918,Below poverty,2014,88.0
919,At or above poverty,2014,91.0
920,Location of residence\4:,2014,
921,Inside MSA:,2014,
922,Principal city,2014,90.3
923,Nonprincipal city,2014,89.5
924,Outside MSA,2014,92.1
925,Varicella (1 dose or more)\6,2014,
926,Total,2014,89.1
927,Not Hispanic or Latino\2:,2014,
928,White only,2014,89.1
929,Black or African American only,2014,87.2
930,American Indian or Alaska Native only,2014,87.3
931,Asian only,2014,91.0
932,Native Hawaiian or Other Pacific Islander only,2014,
933,2 or more races,2014,89.4
934,Hispanic or Latino\2,2014,89.7
935,Poverty level\3:,2014,
936,Below poverty,2014,85.5
937,At or above poverty,2014,90.6
938,Location of residence\4:,2014,
939,Inside MSA:,2014,
940,Principal city,2014,89.3
941,Nonprincipal city,2014,88.8
942,Outside MSA,2014,89.3
943,"Pneumococcal conjugate vaccine 
(4 doses or more)\8",2014,
944,Total,2014,81.3
945,Not Hispanic or Latino\2:,2014,
946,White only,2014,82.9
947,Black or African American only,2014,75.7
948,American Indian or Alaska Native only,2014,74.3
949,Asian only,2014,82.3
950,Native Hawaiian or Other Pacific Islander only,2014,
951,2 or more races,2014,82.5
952,Hispanic or Latino\2,2014,81.0
953,Poverty level\3:,2014,
954,Below poverty,2014,74.3
955,At or above poverty,2014,84.3
956,Location of residence\4:,2014,
957,Inside MSA:,2014,
958,Principal city,2014,81.8
959,Nonprincipal city,2014,81.1
960,Outside MSA,2014,80.1
961,Rotavirus vaccine\9,2014,
962,Total,2014,72.3
963,Not Hispanic or Latino\2:,2014,
964,White only,2014,75.3
965,Black or African American only,2014,66.5
966,American Indian or Alaska Native only,2014,
967,Asian only,2014,77.2
968,Native Hawaiian or Other Pacific Islander only,2014,
969,2 or more races,2014,72.1
970,Hispanic or Latino\2,2014,69.2
971,Poverty level\3:,2014,
972,Below poverty,2014,62.0
973,At or above poverty,2014,77.5
974,Location of residence\4:,2014,
975,Inside MSA:,2014,
976,Principal city,2014,72.1
977,Nonprincipal city,2014,72.6
978,Outside MSA,2014,72.3
979,"* Estimates are considered unreliable. Percentages are not shown if the unweighted sample size for the denominator is less than 30, the confidence interval half-width divided by the estimate is greater than 58.8%, or the confidence interval half-width is greater than 10.
\1Consists of: 1) 4 or more doses of diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP); 2) 3 or more doses of any poliovirus vaccine; 3) 1 or more doses of a measles-containing vaccine (MCV); 4) 3 or more doses or 4 or more doses of Haemophilus influenzae type b vaccine (Hib), depending on Hib vaccine product type (full series Hib); 5) 3 or more doses of hepatitis B vaccine; 6) 1 or more doses of varicella vaccine; and 7) 4 or more doses of pneumococcal conjugate vaccine (PCV). 
\2People of Hispanic origin may be of any race. Estimates are tabulated using the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity.” See Sources and Definitions, Hispanic origin; Race.
\3Based on family income and family size using U.S. Census Bureau poverty thresholds. See Sources and Definitions, Family income; Poverty. 
\4MSA is metropolitan statistical area. MSAs are defined based on the U.S. Office of Management and Budget delineation files. See Sources and Definitions, Metropolitan statistical area (MSA).
\5Includes diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP).
\6Includes children who may have been vaccinated with at least 1 dose of measles, mumps, rubella, and varicella combination vaccine. 
\7Haemophilus influenzae type b vaccine (Hib) full series includes the primary series and booster doses, consisting of 3 or more or 4 or more doses depending on the product type received. 
\8PCV is pneumococcal conjugate vaccine. 
\9Includes 2 or more or 3 or more doses depending on the product type received.",2014,
980,"NOTES: Vaccination coverage estimates are based on provider-verified responses from parents who live in households with telephones. Data for birth year are based on the 3 subsequent survey years. For example, 2010 birth year data are based on 2011, 2012, and 2013 survey data. Starting in 2018, National Immunization Surveys shifted from a dual (landline and cell phone) sampling frame to a single (cell phone) sampling frame design. See Sources and Definitions, National Immunization Surveys (NIS); Vaccination. Additional information on childhood immunizations is available from: https://www.cdc.gov/vaccines/schedules/index.html. Due to methodological changes to report coverage by birth year, data analysis methods have been revised and differ from previous editions of Health, United States.",2014,
981,"SOURCE: National Center for Immunization and Respiratory Diseases (NCIRD), National Immunization Survey–Child.  Available from: https://www.cdc.gov/vaccines/imz-managers/coverage/childvaxview/index.html. See Sources and Definitions, National Immunization Surveys (NIS).",2014,
985,Combined 7-vaccine series\1,2015,
986,Total,2015,68.3
987,Not Hispanic or Latino\2:,2015,
988,White only,2015,68.6
989,Black or African American only,2015,63.9
990,American Indian or Alaska Native only,2015,
991,Asian only,2015,67.1
992,Native Hawaiian or Other Pacific Islander only,2015,
993,2 or more races,2015,71.2
994,Hispanic or Latino\2,2015,69.8
995,Poverty level\3:,2015,
996,Below poverty,2015,62.3
997,At or above poverty,2015,71.4
998,"Hispanic origin, race, and poverty level\2,\3:",2015,
999,Not Hispanic or Latino:,2015,
1000,White only:,2015,
1001,Below poverty,2015,60.4
1002,At or above poverty,2015,70.9
1003,Black or African American only:,2015,
1004,Below poverty,2015,60.9
1005,At or above poverty,2015,66.7
1006,Hispanic or Latino: ,2015,
1007,Below poverty,2015,65.6
1008,At or above poverty,2015,72.6
1009,Location of residence\4:,2015,
1010,Inside MSA:,2015,
1011,Principal city,2015,69.4
1012,Nonprincipal city,2015,68.6
1013,Outside MSA,2015,62.4
1014,DTP/DT/DTaP (4 doses or more)\5,2015,
1015,Total,2015,80.7
1016,Not Hispanic or Latino\2:,2015,
1017,White only,2015,80.8
1018,Black or African American only,2015,75.7
1019,American Indian or Alaska Native only,2015,
1020,Asian only,2015,83.9
1021,Native Hawaiian or Other Pacific Islander only,2015,
1022,2 or more races,2015,82.4
1023,Hispanic or Latino\2,2015,82.5
1024,Poverty level\3:,2015,
1025,Below poverty,2015,75.3
1026,At or above poverty,2015,83.3
1027,Location of residence\4:,2015,
1028,Inside MSA:,2015,
1029,Principal city,2015,83.0
1030,Nonprincipal city,2015,80.0
1031,Outside MSA,2015,73.7
1032,Polio (3 doses or more),2015,
1033,Total,2015,92.6
1034,Not Hispanic or Latino\2:,2015,
1035,White only,2015,92.5
1036,Black or African American only,2015,91.5
1037,American Indian or Alaska Native only,2015,93.0
1038,Asian only,2015,96.8
1039,Native Hawaiian or Other Pacific Islander only,2015,90.8
1040,2 or more races,2015,92.3
1041,Hispanic or Latino\2,2015,92.5
1042,Poverty level\3:,2015,
1043,Below poverty,2015,90.3
1044,At or above poverty,2015,93.5
1045,Location of residence\4:,2015,
1046,Inside MSA:,2015,
1047,Principal city,2015,92.9
1048,Nonprincipal city,2015,92.7
1049,Outside MSA,2015,90.6
1050,"Measles, mumps, rubella (1 dose or more)\6",2015,
1051,Total,2015,90.8
1052,Not Hispanic or Latino\2:,2015,
1053,White only,2015,89.9
1054,Black or African American only,2015,89.5
1055,American Indian or Alaska Native only,2015,87.3
1056,Asian only,2015,95.3
1057,Native Hawaiian or Other Pacific Islander only,2015,
1058,2 or more races,2015,92.9
1059,Hispanic or Latino\2,2015,91.7
1060,Poverty level\3:,2015,
1061,Below poverty,2015,89.0
1062,At or above poverty,2015,91.4
1063,Location of residence\4:,2015,
1064,Inside MSA:,2015,
1065,Principal city,2015,92.3
1066,Nonprincipal city,2015,89.9
1067,Outside MSA,2015,87.5
1068,Hib (full series)\7,2015,
1069,Total,2015,79.6
1070,Not Hispanic or Latino\2:,2015,
1071,White only,2015,79.8
1072,Black or African American only,2015,76.2
1073,American Indian or Alaska Native only,2015,76.3
1074,Asian only,2015,82.8
1075,Native Hawaiian or Other Pacific Islander only,2015,
1076,2 or more races,2015,80.8
1077,Hispanic or Latino\2,2015,80.4
1078,Poverty level\3:,2015,
1079,Below poverty,2015,74.3
1080,At or above poverty,2015,82.2
1081,Location of residence\4:,2015,
1082,Inside MSA:,2015,
1083,Principal city,2015,80.9
1084,Nonprincipal city,2015,79.7
1085,Outside MSA,2015,74.5
1086,Hepatitis A (2 doses or more),2015,
1087,Total,2015,76.4
1088,Not Hispanic or Latino\2:,2015,
1089,White only,2015,75.4
1090,Black or African American only,2015,72.1
1091,American Indian or Alaska Native only,2015,
1092,Asian only,2015,88.4
1093,Native Hawaiian or Other Pacific Islander only,2015,
1094,2 or more races,2015,75.9
1095,Hispanic or Latino\2,2015,78.1
1096,Poverty level\3:,2015,
1097,Below poverty,2015,75.0
1098,At or above poverty,2015,77.0
1099,Location of residence\4:,2015,
1100,Inside MSA:,2015,
1101,Principal city,2015,78.0
1102,Nonprincipal city,2015,76.9
1103,Outside MSA,2015,68.0
1104,Hepatitis B (3 doses or more),2015,
1105,Total,2015,90.6
1106,Not Hispanic or Latino\2:,2015,
1107,White only,2015,89.7
1108,Black or African American only,2015,90.1
1109,American Indian or Alaska Native only,2015,90.4
1110,Asian only,2015,90.2
1111,Native Hawaiian or Other Pacific Islander only,2015,93.1
1112,2 or more races,2015,90.5
1113,Hispanic or Latino\2,2015,92.5
1114,Poverty level\3:,2015,
1115,Below poverty,2015,90.1
1116,At or above poverty,2015,91.4
1117,Location of residence\4:,2015,
1118,Inside MSA:,2015,
1119,Principal city,2015,91.0
1120,Nonprincipal city,2015,90.4
1121,Outside MSA,2015,89.7
1122,Varicella (1 dose or more)\6,2015,
1123,Total,2015,90.2
1124,Not Hispanic or Latino\2:,2015,
1125,White only,2015,89.2
1126,Black or African American only,2015,89.1
1127,American Indian or Alaska Native only,2015,86.8
1128,Asian only,2015,95.3
1129,Native Hawaiian or Other Pacific Islander only,2015,
1130,2 or more races,2015,93.1
1131,Hispanic or Latino\2,2015,91.2
1132,Poverty level\3:,2015,
1133,Below poverty,2015,89.1
1134,At or above poverty,2015,90.7
1135,Location of residence\4:,2015,
1136,Inside MSA:,2015,
1137,Principal city,2015,92.1
1138,Nonprincipal city,2015,89.1
1139,Outside MSA,2015,86.4
1140,"Pneumococcal conjugate vaccine 
(4 doses or more)\8",2015,
1141,Total,2015,81.0
1142,Not Hispanic or Latino\2:,2015,
1143,White only,2015,82.0
1144,Black or African American only,2015,77.4
1145,American Indian or Alaska Native only,2015,70.5
1146,Asian only,2015,78.1
1147,Native Hawaiian or Other Pacific Islander only,2015,
1148,2 or more races,2015,83.3
1149,Hispanic or Latino\2,2015,81.8
1150,Poverty level\3:,2015,
1151,Below poverty,2015,75.2
1152,At or above poverty,2015,83.8
1153,Location of residence\4:,2015,
1154,Inside MSA:,2015,
1155,Principal city,2015,82.1
1156,Nonprincipal city,2015,81.1
1157,Outside MSA,2015,76.2
1158,Rotavirus vaccine\9,2015,
1159,Total,2015,72.1
1160,Not Hispanic or Latino\2:,2015,
1161,White only,2015,75.7
1162,Black or African American only,2015,65.5
1163,American Indian or Alaska Native only,2015,
1164,Asian only,2015,64.1
1165,Native Hawaiian or Other Pacific Islander only,2015,
1166,2 or more races,2015,74.9
1167,Hispanic or Latino\2,2015,70.1
1168,Poverty level\3:,2015,
1169,Below poverty,2015,63.5
1170,At or above poverty,2015,76.0
1171,Location of residence\4:,2015,
1172,Inside MSA:,2015,
1173,Principal city,2015,72.4
1174,Nonprincipal city,2015,72.9
1175,Outside MSA,2015,67.9
1176,"* Estimates are considered unreliable. Percentages are not shown if the unweighted sample size for the denominator is less than 30, the confidence interval half-width divided by the estimate is greater than 58.8%, or the confidence interval half-width is greater than 10.
\1Consists of: 1) 4 or more doses of diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP); 2) 3 or more doses of any poliovirus vaccine; 3) 1 or more doses of a measles-containing vaccine (MCV); 4) 3 or more doses or 4 or more doses of Haemophilus influenzae type b vaccine (Hib), depending on Hib vaccine product type (full series Hib); 5) 3 or more doses of hepatitis B vaccine; 6) 1 or more doses of varicella vaccine; and 7) 4 or more doses of pneumococcal conjugate vaccine (PCV). 
\2People of Hispanic origin may be of any race. Estimates are tabulated using the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity.” See Sources and Definitions, Hispanic origin; Race.
\3Based on family income and family size using U.S. Census Bureau poverty thresholds. See Sources and Definitions, Family income; Poverty. 
\4MSA is metropolitan statistical area. MSAs are defined based on the U.S. Office of Management and Budget delineation files. See Sources and Definitions, Metropolitan statistical area (MSA).
\5Includes diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP).
\6Includes children who may have been vaccinated with at least 1 dose of measles, mumps, rubella, and varicella combination vaccine. 
\7Haemophilus influenzae type b vaccine (Hib) full series includes the primary series and booster doses, consisting of 3 or more or 4 or more doses depending on the product type received. 
\8PCV is pneumococcal conjugate vaccine. 
\9Includes 2 or more or 3 or more doses depending on the product type received.",2015,
1177,"NOTES: Vaccination coverage estimates are based on provider-verified responses from parents who live in households with telephones. Data for birth year are based on the 3 subsequent survey years. For example, 2010 birth year data are based on 2011, 2012, and 2013 survey data. Starting in 2018, National Immunization Surveys shifted from a dual (landline and cell phone) sampling frame to a single (cell phone) sampling frame design. See Sources and Definitions, National Immunization Surveys (NIS); Vaccination. Additional information on childhood immunizations is available from: https://www.cdc.gov/vaccines/schedules/index.html. Due to methodological changes to report coverage by birth year, data analysis methods have been revised and differ from previous editions of Health, United States.",2015,
1178,"SOURCE: National Center for Immunization and Respiratory Diseases (NCIRD), National Immunization Survey–Child.  Available from: https://www.cdc.gov/vaccines/imz-managers/coverage/childvaxview/index.html. See Sources and Definitions, National Immunization Surveys (NIS).",2015,
1182,Combined 7-vaccine series\1,2016,
1183,Total,2016,69.7
1184,Not Hispanic or Latino\2:,2016,
1185,White only,2016,71.4
1186,Black or African American only,2016,64.0
1187,American Indian or Alaska Native only,2016,
1188,Asian only,2016,67.5
1189,Native Hawaiian or Other Pacific Islander only,2016,
1190,2 or more races,2016,72.5
1191,Hispanic or Latino\2,2016,69.0
1192,Poverty level\3:,2016,
1193,Below poverty,2016,60.7
1194,At or above poverty,2016,73.0
1195,"Hispanic origin, race, and poverty level\2,\3:",2016,
1196,Not Hispanic or Latino:,2016,
1197,White only:,2016,
1198,Below poverty,2016,57.6
1199,At or above poverty,2016,74.0
1200,Black or African American only:,2016,
1201,Below poverty,2016,54.9
1202,At or above poverty,2016,69.5
1203,Hispanic or Latino: ,2016,
1204,Below poverty,2016,66.5
1205,At or above poverty,2016,69.5
1206,Location of residence\4:,2016,
1207,Inside MSA:,2016,
1208,Principal city,2016,68.9
1209,Nonprincipal city,2016,71.3
1210,Outside MSA,2016,66.4
1211,DTP/DT/DTaP (4 doses or more)\5,2016,
1212,Total,2016,80.4
1213,Not Hispanic or Latino\2:,2016,
1214,White only,2016,83.0
1215,Black or African American only,2016,75.9
1216,American Indian or Alaska Native only,2016,
1217,Asian only,2016,78.6
1218,Native Hawaiian or Other Pacific Islander only,2016,
1219,2 or more races,2016,81.7
1220,Hispanic or Latino\2,2016,78.0
1221,Poverty level\3:,2016,
1222,Below poverty,2016,70.8
1223,At or above poverty,2016,84.1
1224,Location of residence\4:,2016,
1225,Inside MSA:,2016,
1226,Principal city,2016,79.7
1227,Nonprincipal city,2016,81.9
1228,Outside MSA,2016,77.1
1229,Polio (3 doses or more),2016,
1230,Total,2016,92.5
1231,Not Hispanic or Latino\2:,2016,
1232,White only,2016,93.6
1233,Black or African American only,2016,91.5
1234,American Indian or Alaska Native only,2016,84.8
1235,Asian only,2016,92.6
1236,Native Hawaiian or Other Pacific Islander only,2016,
1237,2 or more races,2016,91.6
1238,Hispanic or Latino\2,2016,91.6
1239,Poverty level\3:,2016,
1240,Below poverty,2016,89.1
1241,At or above poverty,2016,93.8
1242,Location of residence\4:,2016,
